# huble skybackground mean level, earthshine + zodical light
#wavelength(A)    flux(photon/s/A/arcsec^2/m^2)
1735.0    4.956190516037125e-06
1740.0    5.172468972499578e-06
1745.0    5.389908322563615e-06
1750.0    5.608508566229232e-06
1755.0    5.828269703496438e-06
1760.0    6.0491917343652265e-06
1765.0    6.271274658835598e-06
1770.0    6.494518476907555e-06
1775.0    6.7189231885810926e-06
1780.0    6.944488793856216e-06
1785.0    7.171215292732926e-06
1790.0    7.399102685211216e-06
1795.0    7.6281509712910916e-06
1800.0    7.85836015097255e-06
1805.0    8.07091933107771e-06
1810.0    8.284535189309783e-06
1815.0    8.49920772566877e-06
1820.0    8.714936940154672e-06
1825.0    8.931722832767487e-06
1830.0    9.149565403507218e-06
1835.0    9.368464652373863e-06
1840.0    9.588420579367423e-06
1845.0    9.809433184487896e-06
1850.0    1.0031502467735282e-05
1855.0    1.0254628429109583e-05
1860.0    1.0478811068610799e-05
1865.0    1.0704050386238928e-05
1870.0    1.0930346381993973e-05
1875.0    1.115769905587593e-05
1880.0    1.1386108407884804e-05
1885.0    1.1615574438020591e-05
1890.0    1.184609714628329e-05
1895.0    1.2077676532672904e-05
1900.0    1.2310312597189432e-05
1905.0    1.2712087023747278e-05
1910.0    1.3115800446982773e-05
1915.0    1.3521452866895907e-05
1920.0    1.3929044283486693e-05
1925.0    1.433857469675512e-05
1930.0    1.4750044106701198e-05
1935.0    1.5163452513324916e-05
1940.0    1.5578799916626283e-05
1945.0    1.59960863166053e-05
1950.0    1.6415311713261957e-05
1955.0    1.6836476106596262e-05
1960.0    1.7259579496608216e-05
1965.0    1.7684621883297813e-05
1970.0    1.8111603266665053e-05
1975.0    1.8540523646709943e-05
1980.0    1.8971383023432478e-05
1985.0    1.940418139683266e-05
1990.0    1.9838918766910488e-05
1995.0    2.027559513366596e-05
2000.0    2.071421049709908e-05
2005.0    2.327957785004678e-05
2010.0    2.5857481770708722e-05
2015.0    2.8447922259084894e-05
2020.0    3.105089931517531e-05
2025.0    3.3666412938979966e-05
2030.0    3.6294463130498865e-05
2035.0    3.893504988973199e-05
2040.0    4.158817321667937e-05
2045.0    4.425383311134099e-05
2050.0    4.6932029573716845e-05
2055.0    4.9622762603806926e-05
2060.0    5.232603220161126e-05
2065.0    5.504183836712983e-05
2070.0    5.7770181100362636e-05
2075.0    6.051106040130968e-05
2080.0    6.326447626997097e-05
2085.0    6.60304287063465e-05
2090.0    6.880891771043627e-05
2095.0    7.159994328224026e-05
2100.0    7.440350542175852e-05
2105.0    7.745262372366961e-05
2110.0    8.051538557474235e-05
2115.0    8.359179097497673e-05
2120.0    8.668183992437276e-05
2125.0    8.978553242293042e-05
2130.0    9.290286847064974e-05
2135.0    9.60338480675307e-05
2140.0    9.917847121357329e-05
2145.0    0.00010233673790877756
2150.0    0.00010550864815314345
2155.0    0.00010869420194667097
2160.0    0.00011189339928936014
2165.0    0.00011510624018121096
2170.0    0.00011833272462222341
2175.0    0.00012157285261239751
2180.0    0.00012482662415173328
2185.0    0.00012809403924023065
2190.0    0.0001313750978778897
2195.0    0.00013466980006471039
2200.0    0.0001379781458006927
2205.0    0.00013697162005895603
2210.0    0.00013595910741274437
2215.0    0.00013494060786205768
2220.0    0.00013391612140689602
2225.0    0.00013288564804725934
2230.0    0.0001318491877831476
2235.0    0.00013080674061456097
2240.0    0.00012975830654149924
2245.0    0.00012870388556396258
2250.0    0.00012764347768195084
2255.0    0.00012657708289546412
2260.0    0.00012550470120450242
2265.0    0.00012442633260906571
2270.0    0.000123341977109154
2275.0    0.0001222516347047673
2280.0    0.00012115530539590555
2285.0    0.00012005298918256885
2290.0    0.00011894468606475708
2295.0    0.00011783039604247039
2300.0    0.00011671011911570866
2305.0    0.00011709491260915991
2310.0    0.00011748027476136693
2315.0    0.00011786620557232971
2320.0    0.00011825270504204823
2325.0    0.00011863977317052247
2330.0    0.00011902740995775252
2335.0    0.00011941561540373824
2340.0    0.00011980438950847977
2345.0    0.00012019373227197702
2350.0    0.00012058364369422999
2355.0    0.00012097412377523875
2360.0    0.00012136517251500323
2365.0    0.0001217567899135235
2370.0    0.00012214897597079947
2375.0    0.0001225417306868312
2380.0    0.00012293505406161867
2385.0    0.00012332894609516193
2390.0    0.0001237234067874609
2395.0    0.00012411843613851565
2400.0    0.0001245140341483261
2405.0    0.00012714023131933059
2410.0    0.0001297762696251924
2415.0    0.00013242214906591162
2420.0    0.00013507786964148816
2425.0    0.00013774343135192208
2430.0    0.00014041883419721335
2435.0    0.000143104078177362
2440.0    0.000145799163292368
2445.0    0.00014850408954223136
2450.0    0.00015121885692695206
2455.0    0.00015394346544653017
2460.0    0.00015667791510096563
2465.0    0.00015942220589025842
2470.0    0.0001621763378144086
2475.0    0.00016494031087341615
2480.0    0.000167714125067281
2485.0    0.00017049778039600328
2490.0    0.00017329127685958287
2495.0    0.00017609461445801988
2500.0    0.00017890779319131418
2505.0    0.00018094365741134615
2510.0    0.00018298622042831872
2515.0    0.00018503548224223207
2520.0    0.0001870914428530861
2525.0    0.0001891541022608809
2530.0    0.00019122346046561634
2535.0    0.00019329951746729256
2540.0    0.0001953822732659095
2545.0    0.00019747172786146707
2550.0    0.00019956788125396544
2555.0    0.00020167073344340452
2560.0    0.0002037802844297843
2565.0    0.00020589653421310478
2570.0    0.000208019482793366
2575.0    0.00021014913017056787
2580.0    0.00021228547634471055
2585.0    0.00021442852131579388
2590.0    0.00021657826508381795
2595.0    0.00021873470764878275
2600.0    0.00022089784901068826
2605.0    0.0002479953230516333
2610.0    0.00027519518738234857
2615.0    0.0003024974420028341
2620.0    0.00032990208691309003
2625.0    0.00035740912211311616
2630.0    0.00038501854760291255
2635.0    0.0004127303633824792
2640.0    0.00044054456945181607
2645.0    0.0004684611658109233
2650.0    0.0004964801524598007
2655.0    0.0005246015293984484
2660.0    0.0005528252966268666
2665.0    0.0005811514541450546
2670.0    0.0006095800019530132
2675.0    0.000638110940050742
2680.0    0.0006667442684382412
2685.0    0.0006954799871155105
2690.0    0.0007243180960825502
2695.0    0.0007532585953393599
2700.0    0.0007823014848859402
2705.0    0.0007556728768021461
2710.0    0.0007289404708827242
2715.0    0.0007021042671276747
2720.0    0.0006751642655369976
2725.0    0.0006481204661106927
2730.0    0.0006209728688487601
2735.0    0.0005937214737511999
2740.0    0.000566366280818012
2745.0    0.0005389072900491964
2750.0    0.0005113445014447532
2755.0    0.00048367791500468233
2760.0    0.0004559075307289837
2765.0    0.0004280333486176574
2770.0    0.00040005536867070347
2775.0    0.0003719735908881218
2780.0    0.00034378801526991243
2785.0    0.00031549864181607554
2790.0    0.0002871054705266108
2795.0    0.0002586085014015184
2800.0    0.00023000773444079842
2805.0    0.0003032463272527141
2810.0    0.0003767445559459658
2815.0    0.00045050242052055314
2820.0    0.0005245199209764765
2825.0    0.0005987970573137354
2830.0    0.0006733338295323304
2835.0    0.0007481302376322609
2840.0    0.0008231862816135275
2845.0    0.00089850196147613
2850.0    0.0009740772772200681
2855.0    0.0010499122288453423
2860.0    0.0011260068163519523
2865.0    0.0012023610397398977
2870.0    0.0012789748990091792
2875.0    0.0013558483941597966
2880.0    0.0014329815251917497
2885.0    0.0015103742921050388
2890.0    0.0015880266948996636
2895.0    0.0016659387335756243
2900.0    0.001744110408132921
2905.0    0.0017136314040109434
2910.0    0.001683037129351848
2915.0    0.0016523275841556356
2920.0    0.001621502768422306
2925.0    0.0015905626821518595
2930.0    0.0015595073253442955
2935.0    0.0015283366979996146
2940.0    0.0014970508001178162
2945.0    0.0014656496316989007
2950.0    0.0014341331927428679
2955.0    0.001402501483249718
2960.0    0.0013707545032194506
2965.0    0.001338892252652066
2970.0    0.0013069147315475647
2975.0    0.0012748219399059458
2980.0    0.0012426138777272093
2985.0    0.001210290545011356
2990.0    0.0011778519417583856
2995.0    0.0011452980679682978
3000.0    0.001112628923641093
3005.0    0.0011300853582804423
3010.0    0.0011475937132296088
3015.0    0.001165153988488592
3020.0    0.0011827661840573915
3025.0    0.0012004302999360085
3030.0    0.001218146336124442
3035.0    0.0012359142926226924
3040.0    0.0012537341694307594
3045.0    0.001271605966548643
3050.0    0.001289529683976344
3055.0    0.0013075053217138615
3060.0    0.0013255328797611957
3065.0    0.001343612358118347
3070.0    0.0013617437567853149
3075.0    0.0013799270757620995
3080.0    0.001398162315048701
3085.0    0.001416449474645119
3090.0    0.0014347885545513543
3095.0    0.0014531795547674065
3100.0    0.0014716224752932747
3105.0    0.0015154755320681617
3110.0    0.0015594621781252946
3115.0    0.0016035824134646728
3120.0    0.0016478362380862974
3125.0    0.0016922236519901674
3130.0    0.0017367446551762832
3135.0    0.001781399247644645
3140.0    0.0018261874293952524
3145.0    0.0018711092004281052
3150.0    0.0019161645607432046
3155.0    0.001961353510340549
3160.0    0.00200667604922014
3165.0    0.002052132177381976
3170.0    0.002097721894826058
3175.0    0.0021434452015523862
3180.0    0.00218930209756096
3185.0    0.0022352925828517797
3190.0    0.0022814166574248447
3195.0    0.002327674321280156
3200.0    0.002374065574417713
3205.0    0.002396407454528067
3210.0    0.0024188074700601065
3215.0    0.0024412656210138317
3220.0    0.002463781907389243
3225.0    0.002486356329186341
3230.0    0.002508988886405124
3235.0    0.0025316795790455934
3240.0    0.002554428407107748
3245.0    0.002577235370591589
3250.0    0.0026001004694971154
3255.0    0.0026230237038243277
3260.0    0.0026460050735732264
3265.0    0.002669044578743811
3270.0    0.002692142219336081
3275.0    0.002715297995350038
3280.0    0.0027385119067856794
3285.0    0.0027617839536430077
3290.0    0.002785114135922021
3295.0    0.002808502453622721
3300.0    0.0028319489067451064
3305.0    0.002855453495289178
3310.0    0.0028790162192549357
3315.0    0.0029026370786423786
3320.0    0.002926316073451508
3325.0    0.0029500532036823225
3330.0    0.0029738484693348235
3335.0    0.0029977018704090107
3340.0    0.0030216134069048833
3345.0    0.0030455830788224418
3350.0    0.003069610886161686
3355.0    0.0030936968289226167
3360.0    0.003117840907105233
3365.0    0.0031420431207095354
3370.0    0.0031663034697355236
3375.0    0.0031906219541831967
3380.0    0.003214998574052557
3385.0    0.003239433329343603
3390.0    0.0032639262200563346
3395.0    0.003288477246190751
3400.0    0.0033130864077468548
3405.0    0.003321724067055163
3410.0    0.003330372785022544
3415.0    0.0033390325616489995
3420.0    0.0033477033969345287
3425.0    0.003356385290879132
3430.0    0.003365078243482808
3435.0    0.0033737822547455576
3440.0    0.0033824973246673806
3445.0    0.003391223453248277
3450.0    0.003399960640488249
3455.0    0.0034087088863872924
3460.0    0.003417468190945411
3465.0    0.003426238554162602
3470.0    0.0034350199760388666
3475.0    0.0034438124565742056
3480.0    0.003452615995768618
3485.0    0.0034614305936221034
3490.0    0.003470256250134663
3495.0    0.0034790929653062963
3500.0    0.0034879407391370026
3505.0    0.0035009664271809385
3510.0    0.003514015062202219
3515.0    0.003527086644200845
3520.0    0.0035401811731768165
3525.0    0.0035532986491301323
3530.0    0.0035664390720607933
3535.0    0.0035796024419687987
3540.0    0.0035927887588541505
3545.0    0.003605998022716847
3550.0    0.003619230233556889
3555.0    0.0036324853913742754
3560.0    0.0036457634961690063
3565.0    0.0036590645479410836
3570.0    0.0036723885466905053
3575.0    0.0036857354924172726
3580.0    0.003699105385121384
3585.0    0.003712498224802841
3590.0    0.0037259140114616436
3595.0    0.0037393527450977912
3600.0    0.003752814425711283
3605.0    0.0037950234170193533
3610.0    0.0038373350345383807
3615.0    0.003879749278268364
3620.0    0.003922266148209306
3625.0    0.0039648856443612055
3630.0    0.004007607766724061
3635.0    0.004050432515297875
3640.0    0.004093359890082647
3645.0    0.004136389891078376
3650.0    0.004179522518285061
3655.0    0.004222757771702705
3660.0    0.004266095651331307
3665.0    0.004309536157170864
3670.0    0.00435307928922138
3675.0    0.004396725047482853
3680.0    0.0044404734319552835
3685.0    0.004484324442638672
3690.0    0.004528278079533017
3695.0    0.004572334342638319
3700.0    0.004616493231954578
3705.0    0.0046124722536385445
3710.0    0.004608423584411084
3715.0    0.004604347224272196
3720.0    0.004600243173221882
3725.0    0.004596111431260142
3730.0    0.004591951998386975
3735.0    0.004587764874602381
3740.0    0.004583550059906362
3745.0    0.004579307554298915
3750.0    0.004575037357780041
3755.0    0.004570739470349742
3760.0    0.004566413892008016
3765.0    0.004562060622754863
3770.0    0.004557679662590283
3775.0    0.004553271011514277
3780.0    0.0045488346695268436
3785.0    0.0045443706366279845
3790.0    0.004539878912817699
3795.0    0.004535359498095987
3800.0    0.004530812392462847
3805.0    0.004562768196679388
3810.0    0.004594792316819616
3815.0    0.004626884752883532
3820.0    0.004659045504871137
3825.0    0.004691274572782429
3830.0    0.004723571956617409
3835.0    0.004755937656376078
3840.0    0.0047883716720584345
3845.0    0.004820874003664478
3850.0    0.00485344465119421
3855.0    0.00488608361464763
3860.0    0.004918790894024738
3865.0    0.004951566489325536
3870.0    0.00498441040055002
3875.0    0.005017322627698192
3880.0    0.0050503031707700525
3885.0    0.0050833520297656025
3890.0    0.005116469204684839
3895.0    0.005149654695527763
3900.0    0.005182908502294377
3905.0    0.005303572726882924
3910.0    0.005424528934749572
3915.0    0.005545777125894321
3920.0    0.005667317300317171
3925.0    0.005789149458018122
3930.0    0.005911273598997175
3935.0    0.006033689723254326
3940.0    0.0061563978307895804
3945.0    0.006279397921602936
3950.0    0.006402689995694391
3955.0    0.006526274053063948
3960.0    0.006650150093711606
3965.0    0.006774318117637365
3970.0    0.0068987781248412245
3975.0    0.007023530115323184
3980.0    0.007148574089083247
3985.0    0.007273910046121409
3990.0    0.007399537986437672
3995.0    0.007525457910032037
4000.0    0.007651669816904504
4005.0    0.007659843135265862
4010.0    0.007668012979797236
4015.0    0.00767617935049862
4020.0    0.00768434224737002
4025.0    0.007692501670411432
4030.0    0.007700657619622858
4035.0    0.007708810095004297
4040.0    0.007716959096555747
4045.0    0.00772510462427721
4050.0    0.007733246678168689
4055.0    0.007741385258230179
4060.0    0.0077495203644616815
4065.0    0.007757651996863199
4070.0    0.007765780155434729
4075.0    0.007773904840176271
4080.0    0.007782026051087828
4085.0    0.007790143788169395
4090.0    0.007798258051420978
4095.0    0.007806368840842572
4100.0    0.00781447615643418
4105.0    0.007822579998195802
4110.0    0.007830680366127435
4115.0    0.007838777260229083
4120.0    0.007846870680500741
4125.0    0.007854960626942414
4130.0    0.007863047099554103
4135.0    0.007871130098335802
4140.0    0.007879209623287513
4145.0    0.00788728567440924
4150.0    0.007895358251700976
4155.0    0.007903427355162728
4160.0    0.007911492984794492
4165.0    0.007919555140596272
4170.0    0.007927613822568062
4175.0    0.007935669030709865
4180.0    0.007943720765021683
4185.0    0.00795176902550351
4190.0    0.007959813812155356
4195.0    0.007967855124977212
4200.0    0.00797589296396908
4205.0    0.007983927329130964
4210.0    0.007991958220462858
4215.0    0.007999985637964764
4220.0    0.008008009581636687
4225.0    0.00801603005147862
4230.0    0.00802404704749057
4235.0    0.00803206056967253
4240.0    0.008040070618024503
4245.0    0.008048077192546488
4250.0    0.008056080293238487
4255.0    0.008096526315512843
4260.0    0.008137045118705534
4265.0    0.008177636702816567
4270.0    0.008218301067845933
4275.0    0.008259038213793642
4280.0    0.008299848140659687
4285.0    0.008340730848444073
4290.0    0.008381686337146792
4295.0    0.008422714606767853
4300.0    0.008463815657307252
4305.0    0.008504989488764988
4310.0    0.008546236101141063
4315.0    0.008587555494435475
4320.0    0.008628947668648225
4325.0    0.008670412623779312
4330.0    0.008711950359828741
4335.0    0.008753560876796507
4340.0    0.00879524417468261
4345.0    0.00883700025348705
4350.0    0.008878829113209832
4355.0    0.008920730753850949
4360.0    0.008962705175410406
4365.0    0.009004752377888201
4370.0    0.009046872361284332
4375.0    0.009089065125598803
4380.0    0.00913133067083161
4385.0    0.009173668996982761
4390.0    0.009216080104052246
4395.0    0.009258563992040067
4400.0    0.009301120660946228
4405.0    0.00934375011077073
4410.0    0.009386452341513567
4415.0    0.009429227353174743
4420.0    0.009472075145754258
4425.0    0.009514995719252111
4430.0    0.009557989073668303
4435.0    0.009601055209002831
4440.0    0.0096441941252557
4445.0    0.009687405822426904
4450.0    0.009730690300516449
4455.0    0.00977404755952433
4460.0    0.009817477599450548
4465.0    0.009860980420295106
4470.0    0.009904556022058005
4475.0    0.009948204404739239
4480.0    0.00999192556833881
4485.0    0.010035719512856723
4490.0    0.01007958623829297
4495.0    0.010123525744647557
4500.0    0.010167538031920484
4505.0    0.010171012488436406
4510.0    0.01017446958022877
4515.0    0.010177909307297572
4520.0    0.010181331669642813
4525.0    0.010184736667264497
4530.0    0.010188124300162617
4535.0    0.01019149456833718
4540.0    0.010194847471788178
4545.0    0.01019818301051562
4550.0    0.010201501184519497
4555.0    0.010204801993799816
4560.0    0.010208085438356574
4565.0    0.010211351518189773
4570.0    0.010214600233299408
4575.0    0.010217831583685489
4580.0    0.010221045569348004
4585.0    0.010224242190286961
4590.0    0.010227421446502356
4595.0    0.010230583337994191
4600.0    0.010233727864762466
4605.0    0.010236855026807181
4610.0    0.010239964824128336
4615.0    0.010243057256725929
4620.0    0.01024613232459996
4625.0    0.010249190027750434
4630.0    0.010252230366177345
4635.0    0.010255253339880695
4640.0    0.01025825894886049
4645.0    0.010261247193116716
4650.0    0.010264218072649389
4655.0    0.010267171587458497
4660.0    0.010270107737544049
4665.0    0.010273026522906036
4670.0    0.010275927943544465
4675.0    0.01027881199945933
4680.0    0.01028167869065064
4685.0    0.010284528017118388
4690.0    0.010287359978862574
4695.0    0.010290174575883198
4700.0    0.010292971808180265
4705.0    0.01029575167575377
4710.0    0.010298514178603713
4715.0    0.010301259316730097
4720.0    0.01030398709013292
4725.0    0.010306697498812186
4730.0    0.010309390542767886
4735.0    0.01031206622200003
4740.0    0.010314724536508611
4745.0    0.010317365486293632
4750.0    0.010319989071355094
4755.0    0.010322595291692995
4760.0    0.010325184147307332
4765.0    0.010327755638198115
4770.0    0.010330309764365333
4775.0    0.010332846525808992
4780.0    0.01033536592252909
4785.0    0.010337867954525628
4790.0    0.010340352621798606
4795.0    0.010342819924348021
4800.0    0.010345269862173876
4805.0    0.010347702435276173
4810.0    0.01035011764365491
4815.0    0.010352515487310084
4820.0    0.010354895966241697
4825.0    0.010357259080449752
4830.0    0.010359604829934244
4835.0    0.010361933214695179
4840.0    0.010364244234732551
4845.0    0.010366537890046362
4850.0    0.010368814180636616
4855.0    0.010371073106503306
4860.0    0.010373314667646438
4865.0    0.010375538864066006
4870.0    0.010377745695762016
4875.0    0.010379935162734466
4880.0    0.010382107264983354
4885.0    0.010384262002508684
4890.0    0.010386399375310452
4895.0    0.01038851938338866
4900.0    0.010390622026743306
4905.0    0.010392707305374392
4910.0    0.010394775219281917
4915.0    0.010396825768465883
4920.0    0.010398858952926289
4925.0    0.010400874772663134
4930.0    0.010402873227676418
4935.0    0.010404854317966143
4940.0    0.010406818043532304
4945.0    0.010408764404374908
4950.0    0.010410693400493951
4955.0    0.010412605031889432
4960.0    0.010414499298561353
4965.0    0.010416376200509716
4970.0    0.010418235737734515
4975.0    0.010420077910235758
4980.0    0.010421902718013434
4985.0    0.010423710161067556
4990.0    0.010425500239398115
4995.0    0.010427272953005112
5000.0    0.01042902830188855
5005.0    0.010450896385217042
5010.0    0.010472787323800331
5015.0    0.01049470111763842
5020.0    0.010516637766731307
5025.0    0.010538597271078993
5030.0    0.010560579630681476
5035.0    0.01058258484553876
5040.0    0.010604612915650841
5045.0    0.010626663841017719
5050.0    0.010648737621639395
5055.0    0.01067083425751587
5060.0    0.010692953748647146
5065.0    0.01071509609503322
5070.0    0.01073726129667409
5075.0    0.010759449353569758
5080.0    0.010781660265720227
5085.0    0.010803894033125492
5090.0    0.010826150655785557
5095.0    0.010848430133700421
5100.0    0.010870732466870082
5105.0    0.010893057655294542
5110.0    0.010915405698973802
5115.0    0.010937776597907858
5120.0    0.010960170352096713
5125.0    0.010982586961540365
5130.0    0.011005026426238818
5135.0    0.011027488746192067
5140.0    0.011049973921400117
5145.0    0.011072481951862964
5150.0    0.011095012837580609
5155.0    0.011117566578553052
5160.0    0.011140143174780296
5165.0    0.011162742626262337
5170.0    0.011185364932999176
5175.0    0.011208010094990815
5180.0    0.011230678112237248
5185.0    0.011253368984738485
5190.0    0.011276082712494518
5195.0    0.011298819295505347
5200.0    0.011321578733770977
5205.0    0.011344361027291406
5210.0    0.011367166176066633
5215.0    0.011389994180096657
5220.0    0.01141284503938148
5225.0    0.0114357187539211
5230.0    0.011458615323715522
5235.0    0.011481534748764741
5240.0    0.011504477029068757
5245.0    0.011527442164627573
5250.0    0.011550430155441186
5255.0    0.01155661730472812
5260.0    0.01156279529462327
5265.0    0.011568964125126627
5270.0    0.011575123796238197
5275.0    0.011581274307957978
5280.0    0.011587415660285968
5285.0    0.011593547853222173
5290.0    0.011599670886766587
5295.0    0.011605784760919214
5300.0    0.011611889475680053
5305.0    0.011617985031049102
5310.0    0.011624071427026362
5315.0    0.011630148663611834
5320.0    0.011636216740805519
5325.0    0.011642275658607414
5330.0    0.011648325417017519
5335.0    0.011654366016035837
5340.0    0.011660397455662367
5345.0    0.011666419735897108
5350.0    0.011672432856740057
5355.0    0.01167843681819122
5360.0    0.011684431620250596
5365.0    0.011690417262918182
5370.0    0.011696393746193981
5375.0    0.011702361070077988
5380.0    0.011708319234570209
5385.0    0.011714268239670641
5390.0    0.011720208085379283
5395.0    0.011726138771696138
5400.0    0.011732060298621203
5405.0    0.01173797266615448
5410.0    0.011743875874295968
5415.0    0.011749769923045668
5420.0    0.011755654812403581
5425.0    0.011761530542369702
5430.0    0.011767397112944037
5435.0    0.011773254524126583
5440.0    0.01177910277591734
5445.0    0.011784941868316308
5450.0    0.011790771801323487
5455.0    0.01179659257493888
5460.0    0.011802404189162482
5465.0    0.011808206643994294
5470.0    0.011813999939434319
5475.0    0.011819784075482556
5480.0    0.011825559052139003
5485.0    0.011831324869403664
5490.0    0.011837081527276534
5495.0    0.011842829025757616
5500.0    0.01184856736484691
5505.0    0.011862374443121321
5510.0    0.011876187035752495
5515.0    0.011890005142740426
5520.0    0.011903828764085122
5525.0    0.011917657899786577
5530.0    0.011931492549844795
5535.0    0.011945332714259776
5540.0    0.01195917839303152
5545.0    0.011973029586160021
5550.0    0.011986886293645287
5555.0    0.012000748515487313
5560.0    0.0120146162516861
5565.0    0.012028489502241651
5570.0    0.012042368267153962
5575.0    0.012056252546423035
5580.0    0.01207014234004887
5585.0    0.012084037648031466
5590.0    0.012097938470370825
5595.0    0.012111844807066943
5600.0    0.012125756658119827
5605.0    0.01213967402352947
5610.0    0.012153596903295873
5615.0    0.01216752529741904
5620.0    0.012181459205898967
5625.0    0.012195398628735655
5630.0    0.012209343565929107
5635.0    0.012223294017479317
5640.0    0.012237249983386296
5645.0    0.01225121146365003
5650.0    0.012265178458270527
5655.0    0.012279150967247788
5660.0    0.012293128990581808
5665.0    0.012307112528272589
5670.0    0.012321101580320135
5675.0    0.012335096146724438
